found vocab_size = 103 (inside data/meta.pkl)
Number of parameters: 6.29M
iter 0: loss 4.7459, time 412.71ms
iter 10: loss 2.5174, time 269.03ms
iter 20: loss 2.2533, time 278.35ms
iter 30: loss 2.1551, time 269.19ms
iter 40: loss 2.0272, time 268.85ms
iter 50: loss 1.9284, time 273.52ms
iter 60: loss 1.8570, time 269.08ms
iter 70: loss 1.7511, time 269.07ms
iter 80: loss 1.7134, time 269.02ms
iter 90: loss 1.7187, time 273.16ms
iter 100: loss 1.6539, time 273.92ms
iter 110: loss 1.5601, time 275.89ms
iter 120: loss 1.6100, time 274.31ms
iter 130: loss 1.5073, time 269.50ms
iter 140: loss 1.4804, time 276.70ms
iter 150: loss 1.5147, time 269.29ms
iter 160: loss 1.4656, time 274.03ms
iter 170: loss 1.4828, time 269.72ms
iter 180: loss 1.4826, time 269.52ms
iter 190: loss 1.4395, time 269.02ms
iter 200: loss 1.3722, time 269.40ms
iter 210: loss 1.3670, time 269.49ms
iter 220: loss 1.3319, time 269.25ms
iter 230: loss 1.3693, time 272.35ms
iter 240: loss 1.3865, time 269.02ms
step 250: train loss 1.2960, val loss 1.5683
saving checkpoint to out
saving best checkpoint to out
iter 250: loss 1.3272, time 35732.52ms
iter 260: loss 1.3487, time 270.81ms
iter 270: loss 1.3089, time 273.64ms
iter 280: loss 1.3779, time 275.38ms
iter 290: loss 1.3228, time 279.77ms
iter 300: loss 1.3145, time 283.35ms
iter 310: loss 1.3203, time 277.27ms
iter 320: loss 1.2658, time 291.21ms
iter 330: loss 1.3235, time 279.39ms
iter 340: loss 1.2770, time 291.77ms
iter 350: loss 1.3296, time 279.35ms
iter 360: loss 1.2890, time 290.92ms
iter 370: loss 1.3155, time 269.28ms
iter 380: loss 1.2598, time 269.62ms
iter 390: loss 1.2445, time 269.38ms
iter 400: loss 1.2751, time 270.83ms
iter 410: loss 1.2797, time 274.42ms
iter 420: loss 1.2233, time 269.05ms
iter 430: loss 1.2219, time 269.42ms
iter 440: loss 1.2400, time 269.48ms
iter 450: loss 1.1978, time 272.35ms
iter 460: loss 1.2423, time 269.16ms
